dataset,arm,scale,model_scale,prompt,cum_regret@0_mean,cum_regret@0_std,cum_regret@1_mean,cum_regret@1_std,cum_regret@2_mean,cum_regret@2_std,cum_regret@3_mean,cum_regret@3_std,cum_regret@4_mean,cum_regret@4_std,cum_regret@5_mean,cum_regret@5_std,cum_regret@6_mean,cum_regret@6_std,cum_regret@7_mean,cum_regret@7_std
abandit,alphanumeric,high_neg_scale,14B,actionhist,116.66666666666669,47.14045207910317,233.33333333333337,94.28090415820634,350.0,81.64965809277261,466.6666666666667,47.14045207910317,550.0,0.0,633.3333333333334,47.14045207910317,750.0,81.64965809277261,866.6666666666666,94.28090415820634
abandit,alphanumeric,high_neg_scale,14B,fullhist,150.0,0.0,166.66666666666666,23.570226039551585,200.0,0.0,200.0,0.0,200.0,0.0,233.33333333333337,23.570226039551585,233.33333333333337,23.570226039551585,250.0,0.0
abandit,alphanumeric,high_neg_scale,14B,summhist,33.333333333333336,23.570226039551585,116.66666666666669,62.36095644623236,166.66666666666666,47.14045207910317,250.0,81.64965809277261,316.6666666666667,143.37208778404377,383.3333333333333,169.96731711975949,500.0,163.29931618554522,500.0,163.29931618554522
abandit,alphanumeric,high_neg_scale,8B,actionhist,50.0,0.0,83.33333333333333,23.570226039551585,200.0,40.824829046386306,266.6666666666667,47.14045207910317,350.0,0.0,433.3333333333333,47.14045207910317,450.0,70.71067811865476,566.6666666666666,23.570226039551585
abandit,alphanumeric,high_neg_scale,8B,fullhist,66.66666666666667,62.36095644623236,150.0,70.71067811865476,200.0,0.0,200.0,0.0,216.66666666666663,23.570226039551585,266.6666666666667,94.28090415820634,266.6666666666667,94.28090415820634,283.3333333333333,117.85113019775793
abandit,alphanumeric,high_neg_scale,8B,summhist,100.0,70.71067811865476,166.66666666666666,102.74023338281629,233.33333333333337,84.98365855987974,300.0,81.64965809277261,350.0,147.19601443879745,450.0,204.1241452319315,500.0,147.19601443879745,616.6666666666666,184.08935028645433
abandit,alphanumeric,high_scale,14B,actionhist,83.33333333333333,62.36095644623236,216.66666666666663,62.36095644623236,300.0,81.64965809277261,366.6666666666667,47.14045207910317,433.3333333333333,47.14045207910317,550.0,40.824829046386306,616.6666666666666,23.570226039551585,700.0,40.824829046386306
abandit,alphanumeric,high_scale,14B,fullhist,150.0,0.0,183.33333333333337,47.14045207910317,250.0,0.0,250.0,0.0,250.0,0.0,250.0,0.0,250.0,0.0,250.0,0.0
abandit,alphanumeric,high_scale,14B,summhist,133.33333333333334,23.570226039551585,216.66666666666663,62.36095644623236,283.3333333333333,23.570226039551585,416.6666666666667,23.570226039551585,500.0,81.64965809277261,600.0,40.824829046386306,683.3333333333334,62.36095644623236,766.6666666666666,62.36095644623236
abandit,alphanumeric,high_scale,8B,actionhist,66.66666666666667,47.14045207910317,200.0,40.824829046386306,316.6666666666667,23.570226039551585,416.6666666666667,84.98365855987974,483.3333333333333,62.36095644623236,533.3333333333334,23.570226039551585,650.0,40.824829046386306,750.0,108.01234497346434
