model,domain,nomenclature,scale,P(Y=0),E[Y|Y>0],N_conditional,N_total
Olmo-3.1-32B-Instruct,Bandit,alphanumeric,-2.0000,1.0000,,0.0000,20.0000
Olmo-3.1-32B-Instruct,Bandit,alphanumeric,-1.9000,1.0000,,0.0000,20.0000
Olmo-3.1-32B-Instruct,Bandit,alphanumeric,-1.8000,1.0000,,0.0000,20.0000
Olmo-3.1-32B-Instruct,Bandit,alphanumeric,-1.7000,1.0000,,0.0000,20.0000
Olmo-3.1-32B-Instruct,Bandit,alphanumeric,-1.6000,1.0000,,0.0000,20.0000
Olmo-3.1-32B-Instruct,Bandit,alphanumeric,-1.5000,0.9500,1.0000,1.0000,20.0000
Olmo-3.1-32B-Instruct,Bandit,alphanumeric,-1.4000,1.0000,,0.0000,20.0000
Olmo-3.1-32B-Instruct,Bandit,alphanumeric,-1.3000,1.0000,,0.0000,20.0000
Olmo-3.1-32B-Instruct,Bandit,alphanumeric,-1.2000,0.9500,1.0000,1.0000,20.0000
Olmo-3.1-32B-Instruct,Bandit,alphanumeric,-1.1000,0.9500,1.0000,1.0000,20.0000
Olmo-3.1-32B-Instruct,Bandit,alphanumeric,-1.0000,1.0000,,0.0000,20.0000
Olmo-3.1-32B-Instruct,Bandit,alphanumeric,-0.9000,1.0000,,0.0000,20.0000
Olmo-3.1-32B-Instruct,Bandit,alphanumeric,-0.8000,1.0000,,0.0000,20.0000
Olmo-3.1-32B-Instruct,Bandit,alphanumeric,-0.7000,1.0000,,0.0000,20.0000
Olmo-3.1-32B-Instruct,Bandit,alphanumeric,-0.6000,1.0000,,0.0000,20.0000
Olmo-3.1-32B-Instruct,Bandit,alphanumeric,-0.5000,1.0000,,0.0000,20.0000
Olmo-3.1-32B-Instruct,Bandit,alphanumeric,-0.4000,1.0000,,0.0000,20.0000
Olmo-3.1-32B-Instruct,Bandit,alphanumeric,-0.3000,1.0000,,0.0000,20.0000
Olmo-3.1-32B-Instruct,Bandit,alphanumeric,-0.2000,0.9500,1.0000,1.0000,20.0000
Olmo-3.1-32B-Instruct,Bandit,alphanumeric,-0.1000,1.0000,,0.0000,20.0000
Olmo-3.1-32B-Instruct,Bandit,alphanumeric,0.0000,1.0000,,0.0000,20.0000
Olmo-3.1-32B-Instruct,Bandit,alphanumeric,0.1000,0.8000,1.0000,4.0000,20.0000
Olmo-3.1-32B-Instruct,Bandit,alphanumeric,0.2000,0.9000,1.0000,2.0000,20.0000
Olmo-3.1-32B-Instruct,Bandit,alphanumeric,0.3000,0.6500,1.2857,7.0000,20.0000
Olmo-3.1-32B-Instruct,Bandit,alphanumeric,0.4000,0.6000,1.1250,8.0000,20.0000
Olmo-3.1-32B-Instruct,Bandit,alphanumeric,0.5000,0.5000,1.2000,10.0000,20.0000
Olmo-3.1-32B-Instruct,Bandit,alphanumeric,0.6000,0.5000,2.8000,10.0000,20.0000
Olmo-3.1-32B-Instruct,Bandit,alphanumeric,0.7000,0.3500,1.6154,13.0000,20.0000
Olmo-3.1-32B-Instruct,Bandit,alphanumeric,0.8000,0.3500,1.7692,13.0000,20.0000
Olmo-3.1-32B-Instruct,Bandit,alphanumeric,0.9000,0.4500,2.5455,11.0000,20.0000
Olmo-3.1-32B-Instruct,Bandit,alphanumeric,1.0000,0.7000,2.1667,6.0000,20.0000
Olmo-3.1-32B-Instruct,Bandit,alphanumeric,1.1000,0.3500,3.1538,13.0000,20.0000
Olmo-3.1-32B-Instruct,Bandit,alphanumeric,1.2000,0.4500,1.9091,11.0000,20.0000
Olmo-3.1-32B-Instruct,Bandit,alphanumeric,1.3000,0.4500,3.3636,11.0000,20.0000
Olmo-3.1-32B-Instruct,Bandit,alphanumeric,1.4000,0.3500,2.3077,13.0000,20.0000
Olmo-3.1-32B-Instruct,Bandit,alphanumeric,1.5000,0.4500,1.3636,11.0000,20.0000
Olmo-3.1-32B-Instruct,Bandit,alphanumeric,1.6000,0.6500,1.4286,7.0000,20.0000
Olmo-3.1-32B-Instruct,Bandit,alphanumeric,1.7000,0.5000,2.0000,10.0000,20.0000
Olmo-3.1-32B-Instruct,Bandit,alphanumeric,1.8000,0.3000,1.8571,14.0000,20.0000
Olmo-3.1-32B-Instruct,Bandit,alphanumeric,1.9000,0.3000,2.2857,14.0000,20.0000
Olmo-3.1-32B-Instruct,Bandit,alphanumeric,2.0000,0.5000,2.8000,10.0000,20.0000
Olmo-3.1-32B-Instruct,Bandit,ordinal_helpful,-2.0000,1.0000,,0.0000,20.0000
Olmo-3.1-32B-Instruct,Bandit,ordinal_helpful,-1.9000,1.0000,,0.0000,20.0000
Olmo-3.1-32B-Instruct,Bandit,ordinal_helpful,-1.8000,0.9500,1.0000,1.0000,20.0000
Olmo-3.1-32B-Instruct,Bandit,ordinal_helpful,-1.7000,0.8000,1.0000,4.0000,20.0000
Olmo-3.1-32B-Instruct,Bandit,ordinal_helpful,-1.6000,0.8500,1.0000,3.0000,20.0000
Olmo-3.1-32B-Instruct,Bandit,ordinal_helpful,-1.5000,0.8500,1.0000,3.0000,20.0000
Olmo-3.1-32B-Instruct,Bandit,ordinal_helpful,-1.4000,0.9000,1.0000,2.0000,20.0000
Olmo-3.1-32B-Instruct,Bandit,ordinal_helpful,-1.3000,0.9500,1.0000,1.0000,20.0000
Olmo-3.1-32B-Instruct,Bandit,ordinal_helpful,-1.2000,0.9000,1.0000,2.0000,20.0000
Olmo-3.1-32B-Instruct,Bandit,ordinal_helpful,-1.1000,0.8000,1.0000,4.0000,20.0000
Olmo-3.1-32B-Instruct,Bandit,ordinal_helpful,-1.0000,0.9500,1.0000,1.0000,20.0000
Olmo-3.1-32B-Instruct,Bandit,ordinal_helpful,-0.9000,0.9500,1.0000,1.0000,20.0000
Olmo-3.1-32B-Instruct,Bandit,ordinal_helpful,-0.8000,0.9500,1.0000,1.0000,20.0000
Olmo-3.1-32B-Instruct,Bandit,ordinal_helpful,-0.7000,0.9000,1.5000,2.0000,20.0000
Olmo-3.1-32B-Instruct,Bandit,ordinal_helpful,-0.6000,0.9000,1.0000,2.0000,20.0000
Olmo-3.1-32B-Instruct,Bandit,ordinal_helpful,-0.5000,0.9000,1.0000,2.0000,20.0000
Olmo-3.1-32B-Instruct,Bandit,ordinal_helpful,-0.4000,0.9000,1.0000,2.0000,20.0000
Olmo-3.1-32B-Instruct,Bandit,ordinal_helpful,-0.3000,1.0000,,0.0000,20.0000
Olmo-3.1-32B-Instruct,Bandit,ordinal_helpful,-0.2000,0.9000,1.0000,2.0000,20.0000
Olmo-3.1-32B-Instruct,Bandit,ordinal_helpful,-0.1000,0.8500,1.0000,3.0000,20.0000
Olmo-3.1-32B-Instruct,Bandit,ordinal_helpful,0.0000,0.6500,1.1429,7.0000,20.0000
Olmo-3.1-32B-Instruct,Bandit,ordinal_helpful,0.1000,0.3000,2.0714,14.0000,20.0000
Olmo-3.1-32B-Instruct,Bandit,ordinal_helpful,0.2000,0.2500,4.4667,15.0000,20.0000
Olmo-3.1-32B-Instruct,Bandit,ordinal_helpful,0.3000,0.2500,4.4667,15.0000,20.0000
Olmo-3.1-32B-Instruct,Bandit,ordinal_helpful,0.4000,0.4000,4.3333,12.0000,20.0000
Olmo-3.1-32B-Instruct,Bandit,ordinal_helpful,0.5000,0.1500,4.8824,17.0000,20.0000
Olmo-3.1-32B-Instruct,Bandit,ordinal_helpful,0.6000,0.3500,4.6154,13.0000,20.0000
Olmo-3.1-32B-Instruct,Bandit,ordinal_helpful,0.7000,0.8500,4.0000,3.0000,20.0000
Olmo-3.1-32B-Instruct,Bandit,ordinal_helpful,0.8000,0.1500,5.7059,17.0000,20.0000
Olmo-3.1-32B-Instruct,Bandit,ordinal_helpful,0.9000,0.7500,8.8000,5.0000,20.0000
Olmo-3.1-32B-Instruct,Bandit,ordinal_helpful,1.0000,0.4500,5.3636,11.0000,20.0000
Olmo-3.1-32B-Instruct,Bandit,ordinal_helpful,1.1000,0.6500,5.0000,7.0000,20.0000
Olmo-3.1-32B-Instruct,Bandit,ordinal_helpful,1.2000,0.4500,3.4545,11.0000,20.0000
Olmo-3.1-32B-Instruct,Bandit,ordinal_helpful,1.3000,0.7000,5.6667,6.0000,20.0000
Olmo-3.1-32B-Instruct,Bandit,ordinal_helpful,1.4000,0.1000,4.8333,18.0000,20.0000
Olmo-3.1-32B-Instruct,Bandit,ordinal_helpful,1.5000,0.2500,5.6000,15.0000,20.0000
Olmo-3.1-32B-Instruct,Bandit,ordinal_helpful,1.6000,0.3500,5.3846,13.0000,20.0000
Olmo-3.1-32B-Instruct,Bandit,ordinal_helpful,1.7000,0.4000,5.2500,12.0000,20.0000
Olmo-3.1-32B-Instruct,Bandit,ordinal_helpful,1.8000,0.9000,3.5000,2.0000,20.0000
Olmo-3.1-32B-Instruct,Bandit,ordinal_helpful,1.9000,0.3500,6.4615,13.0000,20.0000
Olmo-3.1-32B-Instruct,Bandit,ordinal_helpful,2.0000,0.2500,5.6667,15.0000,20.0000
Olmo-3.1-32B-Instruct,Clothing,alphanumeric,-2.0000,0.9500,1.0000,1.0000,20.0000
Olmo-3.1-32B-Instruct,Clothing,alphanumeric,-1.9000,0.9500,1.0000,1.0000,20.0000
Olmo-3.1-32B-Instruct,Clothing,alphanumeric,-1.8000,1.0000,,0.0000,20.0000
Olmo-3.1-32B-Instruct,Clothing,alphanumeric,-1.7000,0.9500,1.0000,1.0000,20.0000
Olmo-3.1-32B-Instruct,Clothing,alphanumeric,-1.6000,0.9000,1.0000,2.0000,20.0000
Olmo-3.1-32B-Instruct,Clothing,alphanumeric,-1.5000,1.0000,,0.0000,20.0000
Olmo-3.1-32B-Instruct,Clothing,alphanumeric,-1.4000,0.9000,1.0000,2.0000,20.0000
Olmo-3.1-32B-Instruct,Clothing,alphanumeric,-1.3000,0.9500,1.0000,1.0000,20.0000
Olmo-3.1-32B-Instruct,Clothing,alphanumeric,-1.2000,0.9500,1.0000,1.0000,20.0000
Olmo-3.1-32B-Instruct,Clothing,alphanumeric,-1.1000,0.9500,1.0000,1.0000,20.0000
Olmo-3.1-32B-Instruct,Clothing,alphanumeric,-1.0000,1.0000,,0.0000,20.0000
Olmo-3.1-32B-Instruct,Clothing,alphanumeric,-0.9000,1.0000,,0.0000,20.0000
Olmo-3.1-32B-Instruct,Clothing,alphanumeric,-0.8000,1.0000,,0.0000,20.0000
Olmo-3.1-32B-Instruct,Clothing,alphanumeric,-0.7000,0.9500,1.0000,1.0000,20.0000
Olmo-3.1-32B-Instruct,Clothing,alphanumeric,-0.6000,1.0000,,0.0000,20.0000
Olmo-3.1-32B-Instruct,Clothing,alphanumeric,-0.5000,0.9500,1.0000,1.0000,20.0000
Olmo-3.1-32B-Instruct,Clothing,alphanumeric,-0.4000,0.9000,1.0000,2.0000,20.0000
Olmo-3.1-32B-Instruct,Clothing,alphanumeric,-0.3000,0.9000,1.5000,2.0000,20.0000
Olmo-3.1-32B-Instruct,Clothing,alphanumeric,-0.2000,1.0000,,0.0000,20.0000
Olmo-3.1-32B-Instruct,Clothing,alphanumeric,-0.1000,0.9500,2.0000,1.0000,20.0000
Olmo-3.1-32B-Instruct,Clothing,alphanumeric,0.0000,0.7000,1.3333,6.0000,20.0000
Olmo-3.1-32B-Instruct,Clothing,alphanumeric,0.1000,0.4500,1.9091,11.0000,20.0000
Olmo-3.1-32B-Instruct,Clothing,alphanumeric,0.2000,0.2500,2.2667,15.0000,20.0000
Olmo-3.1-32B-Instruct,Clothing,alphanumeric,0.3000,0.2500,3.2667,15.0000,20.0000
Olmo-3.1-32B-Instruct,Clothing,alphanumeric,0.4000,0.1500,2.9412,17.0000,20.0000
Olmo-3.1-32B-Instruct,Clothing,alphanumeric,0.5000,0.1500,2.8824,17.0000,20.0000
Olmo-3.1-32B-Instruct,Clothing,alphanumeric,0.6000,0.2000,5.0000,16.0000,20.0000
Olmo-3.1-32B-Instruct,Clothing,alphanumeric,0.7000,0.5500,5.6667,9.0000,20.0000
Olmo-3.1-32B-Instruct,Clothing,alphanumeric,0.8000,0.7500,5.8000,5.0000,20.0000
Olmo-3.1-32B-Instruct,Clothing,alphanumeric,0.9000,0.7000,5.5000,6.0000,20.0000
Olmo-3.1-32B-Instruct,Clothing,alphanumeric,1.0000,0.7500,3.4000,5.0000,20.0000
Olmo-3.1-32B-Instruct,Clothing,alphanumeric,1.1000,0.5000,4.9000,10.0000,20.0000
Olmo-3.1-32B-Instruct,Clothing,alphanumeric,1.2000,0.9000,6.0000,2.0000,20.0000
Olmo-3.1-32B-Instruct,Clothing,alphanumeric,1.3000,0.9000,8.0000,2.0000,20.0000
Olmo-3.1-32B-Instruct,Clothing,alphanumeric,1.4000,0.5000,5.4000,10.0000,20.0000
Olmo-3.1-32B-Instruct,Clothing,alphanumeric,1.5000,0.7000,4.6667,6.0000,20.0000
Olmo-3.1-32B-Instruct,Clothing,alphanumeric,1.6000,0.8000,3.7500,4.0000,20.0000
Olmo-3.1-32B-Instruct,Clothing,alphanumeric,1.7000,0.9000,5.5000,2.0000,20.0000
Olmo-3.1-32B-Instruct,Clothing,alphanumeric,1.8000,0.4500,6.8182,11.0000,20.0000
Olmo-3.1-32B-Instruct,Clothing,alphanumeric,1.9000,0.6500,5.5714,7.0000,20.0000
Olmo-3.1-32B-Instruct,Clothing,alphanumeric,2.0000,0.8000,6.5000,4.0000,20.0000
Olmo-3.1-32B-Instruct,Clothing,ordinal_helpful,-2.0000,0.8000,1.0000,4.0000,20.0000
Olmo-3.1-32B-Instruct,Clothing,ordinal_helpful,-1.9000,0.7000,2.0000,6.0000,20.0000
Olmo-3.1-32B-Instruct,Clothing,ordinal_helpful,-1.8000,0.7500,1.8000,5.0000,20.0000
Olmo-3.1-32B-Instruct,Clothing,ordinal_helpful,-1.7000,0.8000,1.2500,4.0000,20.0000
Olmo-3.1-32B-Instruct,Clothing,ordinal_helpful,-1.6000,0.6500,1.4286,7.0000,20.0000
Olmo-3.1-32B-Instruct,Clothing,ordinal_helpful,-1.5000,0.9500,1.0000,1.0000,20.0000
Olmo-3.1-32B-Instruct,Clothing,ordinal_helpful,-1.4000,0.8000,1.2500,4.0000,20.0000
Olmo-3.1-32B-Instruct,Clothing,ordinal_helpful,-1.3000,0.6500,1.2857,7.0000,20.0000
Olmo-3.1-32B-Instruct,Clothing,ordinal_helpful,-1.2000,0.6500,1.4286,7.0000,20.0000
Olmo-3.1-32B-Instruct,Clothing,ordinal_helpful,-1.1000,0.7000,1.3333,6.0000,20.0000
Olmo-3.1-32B-Instruct,Clothing,ordinal_helpful,-1.0000,0.8000,1.0000,4.0000,20.0000
Olmo-3.1-32B-Instruct,Clothing,ordinal_helpful,-0.9000,0.9000,2.0000,2.0000,20.0000
Olmo-3.1-32B-Instruct,Clothing,ordinal_helpful,-0.8000,0.7000,2.0000,6.0000,20.0000
Olmo-3.1-32B-Instruct,Clothing,ordinal_helpful,-0.7000,0.8500,1.3333,3.0000,20.0000
Olmo-3.1-32B-Instruct,Clothing,ordinal_helpful,-0.6000,0.7000,2.1667,6.0000,20.0000
Olmo-3.1-32B-Instruct,Clothing,ordinal_helpful,-0.5000,0.6000,2.0000,8.0000,20.0000
Olmo-3.1-32B-Instruct,Clothing,ordinal_helpful,-0.4000,0.7500,1.2000,5.0000,20.0000
Olmo-3.1-32B-Instruct,Clothing,ordinal_helpful,-0.3000,0.7000,1.6667,6.0000,20.0000
Olmo-3.1-32B-Instruct,Clothing,ordinal_helpful,-0.2000,0.5000,1.7000,10.0000,20.0000
Olmo-3.1-32B-Instruct,Clothing,ordinal_helpful,-0.1000,0.7000,1.3333,6.0000,20.0000
Olmo-3.1-32B-Instruct,Clothing,ordinal_helpful,0.0000,0.5500,2.4444,9.0000,20.0000
Olmo-3.1-32B-Instruct,Clothing,ordinal_helpful,0.1000,0.2000,6.1250,16.0000,20.0000
Olmo-3.1-32B-Instruct,Clothing,ordinal_helpful,0.2000,0.5000,8.2000,10.0000,20.0000
Olmo-3.1-32B-Instruct,Clothing,ordinal_helpful,0.3000,0.8500,10.0000,3.0000,20.0000
Olmo-3.1-32B-Instruct,Clothing,ordinal_helpful,0.4000,0.6000,9.1250,8.0000,20.0000
Olmo-3.1-32B-Instruct,Clothing,ordinal_helpful,0.5000,0.6000,8.5000,8.0000,20.0000
Olmo-3.1-32B-Instruct,Clothing,ordinal_helpful,0.6000,0.5500,9.4444,9.0000,20.0000
Olmo-3.1-32B-Instruct,Clothing,ordinal_helpful,0.7000,0.5000,10.0000,10.0000,20.0000
Olmo-3.1-32B-Instruct,Clothing,ordinal_helpful,0.8000,0.3000,9.3571,14.0000,20.0000
Olmo-3.1-32B-Instruct,Clothing,ordinal_helpful,0.9000,0.4000,8.9167,12.0000,20.0000
Olmo-3.1-32B-Instruct,Clothing,ordinal_helpful,1.0000,0.5000,8.4000,10.0000,20.0000
Olmo-3.1-32B-Instruct,Clothing,ordinal_helpful,1.1000,0.5500,9.7778,9.0000,20.0000
