folder_path,shuffles_missing,model_size
experiments/20260225_ab_scalesweep_novar/model_name_Qwen3-14B/ordinal_helpful_scale0.8,20,14B
experiments/20260225_ab_scalesweep_novar/model_name_Qwen3-14B/ordinal_helpful_scale0.1,20,14B
experiments/20260225_ab_scalesweep_novar/model_name_Qwen3-14B/ordinal_helpful_scale1.0,20,14B
experiments/20260225_ab_scalesweep_novar/model_name_Qwen3-14B/ordinal_helpful_scale1.1,20,14B
experiments/20260225_ab_scalesweep_novar/model_name_Qwen3-14B/ordinal_helpful_scale2.0,20,14B
experiments/20260225_ab_scalesweep_novar/model_name_Qwen3-14B/ordinal_helpful_scale0.9,20,14B
experiments/20260225_ab_scalesweep_novar/model_name_Qwen3-14B/ordinal_helpful_scale0,20,14B
experiments/20260225_ab_scalesweep_novar/model_name_Qwen3-14B/ordinal_helpful_scale25,20,14B
experiments/20260225_ab_scalesweep_novar/model_name_Qwen3-14B/ordinal_helpful_scale1.2,20,14B
experiments/20260225_ab_scalesweep_novar/model_name_Qwen3-32B/ordinal_helpful_scale0.8,20,32B
experiments/20260225_ab_scalesweep_novar/model_name_Qwen3-32B/ordinal_helpful_scale0.1,20,32B
experiments/20260225_ab_scalesweep_novar/model_name_Qwen3-32B/ordinal_helpful_scale1.0,20,32B
experiments/20260225_ab_scalesweep_novar/model_name_Qwen3-32B/ordinal_helpful_scale1.1,20,32B
experiments/20260225_ab_scalesweep_novar/model_name_Qwen3-32B/ordinal_helpful_scale2.0,20,32B
experiments/20260225_ab_scalesweep_novar/model_name_Qwen3-32B/ordinal_helpful_scale0.9,20,32B
experiments/20260225_ab_scalesweep_novar/model_name_Qwen3-32B/ordinal_helpful_scale0,20,32B
experiments/20260225_ab_scalesweep_novar/model_name_Qwen3-32B/ordinal_helpful_scale25,20,32B
experiments/20260225_ab_scalesweep_novar/model_name_Qwen3-32B/ordinal_helpful_scale1.2,20,32B
