folder_path,shuffles_missing,model_size
experiments/20260311_gemini_farm_novar/ordinal_helpful_low_scale,10,gemini
experiments/20260311_gemini_farm_novar/ordinal_helpful_high_scale,10,gemini
experiments/20260311_gemini_farm_novar/alphanumeric_low_neg_scale,10,gemini
experiments/20260311_gemini_farm_novar/alphanumeric_high_neg_scale,10,gemini
experiments/20260311_gemini_farm_novar/ordinal_mislead_low_neg_scale,10,gemini
experiments/20260311_gemini_farm_novar/ordinal_helpful_low_neg_scale,10,gemini
experiments/20260311_gemini_farm_novar/ordinal_helpful_high_neg_scale,10,gemini
experiments/20260311_gemini_farm_novar/ordinal_mislead_high_scale,10,gemini
experiments/20260311_gemini_farm_novar/ordinal_mislead_high_neg_scale,10,gemini
experiments/20260311_gemini_farm_novar/ordinal_mislead_low_scale,10,gemini
experiments/20260311_gemini_farm_novar/alphanumeric_low_scale,10,gemini
experiments/20260311_gemini_farm_novar/alphanumeric_high_scale,10,gemini
