folder_path,shuffles_missing,model_size
experiments/20260320_farm_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/alphanumeric_scale1.0,3,32B
experiments/20260320_farm_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/alphanumeric_scale1.1,3,32B
experiments/20260320_farm_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/alphanumeric_scale1.3,3,32B
experiments/20260320_farm_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/alphanumeric_scale1.4,12,32B
experiments/20260320_farm_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/alphanumeric_scale1.5,2,32B
experiments/20260320_farm_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/alphanumeric_scale1.7,5,32B
experiments/20260320_farm_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/alphanumeric_scale1.8,1,32B
experiments/20260320_farm_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/alphanumeric_scale1.9,1,32B
experiments/20260320_farm_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/alphanumeric_scale2.0,8,32B
experiments/20260320_farm_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/ordinal_helpful_scale0.1,1,32B
experiments/20260320_farm_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/ordinal_helpful_scale0.3,1,32B
experiments/20260320_farm_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/ordinal_helpful_scale0.4,1,32B
experiments/20260320_farm_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/ordinal_helpful_scale0.5,1,32B
experiments/20260320_farm_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/ordinal_helpful_scale0.6,1,32B
experiments/20260320_farm_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/ordinal_helpful_scale0.7,6,32B
experiments/20260320_farm_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/ordinal_helpful_scale0.8,9,32B
experiments/20260320_farm_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/ordinal_helpful_scale0.9,13,32B
experiments/20260320_farm_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/ordinal_helpful_scale1.0,10,32B
experiments/20260320_farm_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/ordinal_helpful_scale1.1,9,32B
experiments/20260320_farm_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/ordinal_helpful_scale1.2,12,32B
experiments/20260320_farm_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/ordinal_helpful_scale1.3,17,32B
experiments/20260320_farm_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/ordinal_helpful_scale1.4,14,32B
experiments/20260320_farm_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/ordinal_helpful_scale1.5,16,32B
experiments/20260320_farm_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/ordinal_helpful_scale1.6,15,32B
experiments/20260320_farm_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/ordinal_helpful_scale1.7,16,32B
experiments/20260320_farm_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/ordinal_helpful_scale1.8,10,32B
experiments/20260320_farm_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/ordinal_helpful_scale1.9,12,32B
experiments/20260320_farm_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/ordinal_helpful_scale2.0,4,32B
experiments/20260320_farm_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/world_helpful_scale0.3,1,32B
experiments/20260320_farm_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/world_helpful_scale0.5,2,32B
experiments/20260320_farm_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/world_helpful_scale0.6,3,32B
experiments/20260320_farm_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/world_helpful_scale0.7,4,32B
experiments/20260320_farm_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/world_helpful_scale0.8,5,32B
experiments/20260320_farm_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/world_helpful_scale0.9,7,32B
experiments/20260320_farm_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/world_helpful_scale1.0,3,32B
experiments/20260320_farm_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/world_helpful_scale1.1,3,32B
experiments/20260320_farm_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/world_helpful_scale1.2,3,32B
experiments/20260320_farm_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/world_helpful_scale1.3,3,32B
experiments/20260320_farm_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/world_helpful_scale1.4,3,32B
experiments/20260320_farm_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/world_helpful_scale1.5,4,32B
experiments/20260320_farm_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/world_helpful_scale1.6,1,32B
experiments/20260320_farm_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/world_helpful_scale1.7,2,32B
experiments/20260320_farm_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/world_helpful_scale1.8,5,32B
experiments/20260320_farm_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/world_helpful_scale1.9,11,32B
experiments/20260320_farm_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/world_helpful_scale2.0,1,32B
experiments/20260320_farm_scalesweep_novar/model_name_Qwen3-32B/alphanumeric_scale0.8,1,32B
experiments/20260320_farm_scalesweep_novar/model_name_Qwen3-32B/ordinal_helpful_scale0.9,1,32B
experiments/20260320_farm_scalesweep_novar/model_name_Qwen3-32B/ordinal_helpful_scale1.2,1,32B
experiments/20260320_farm_scalesweep_novar/model_name_Qwen3-32B/ordinal_helpful_scale1.3,1,32B
