folder_path,shuffles_missing,model_size
experiments/20260524_rec_warn_noexp_novar/model_name_gemini-3.1-flash-lite-preview/alphanumeric_high_neg_scale,1,gemini
experiments/20260524_rec_warn_noexp_novar/model_name_gemini-3.1-flash-lite-preview/alphanumeric_high_scale,1,gemini
experiments/20260524_rec_warn_noexp_novar/model_name_Qwen3-32B/alphanumeric_high_scale,1,32B
experiments/20260524_rec_warn_noexp_novar/model_name_gemini-3.1-flash-lite-preview/world_helpful_high_neg_scale,10,gemini
experiments/20260524_rec_warn_noexp_novar/model_name_gemini-3.1-flash-lite-preview/world_helpful_high_scale,10,gemini
experiments/20260524_rec_warn_noexp_novar/model_name_gemini-3.1-flash-lite-preview/world_mislead_high_neg_scale,10,gemini
experiments/20260524_rec_warn_noexp_novar/model_name_gemini-3.1-flash-lite-preview/world_mislead_high_scale,10,gemini
experiments/20260524_rec_warn_noexp_novar/model_name_Olmo-3.1-32B-Instruct/world_helpful_high_neg_scale,10,32B
experiments/20260524_rec_warn_noexp_novar/model_name_Olmo-3.1-32B-Instruct/world_helpful_high_scale,10,32B
experiments/20260524_rec_warn_noexp_novar/model_name_Olmo-3.1-32B-Instruct/world_mislead_high_neg_scale,10,32B
experiments/20260524_rec_warn_noexp_novar/model_name_Olmo-3.1-32B-Instruct/world_mislead_high_scale,10,32B
experiments/20260524_rec_warn_noexp_novar/model_name_Qwen3-32B/world_helpful_high_neg_scale,10,32B
experiments/20260524_rec_warn_noexp_novar/model_name_Qwen3-32B/world_helpful_high_scale,10,32B
experiments/20260524_rec_warn_noexp_novar/model_name_Qwen3-32B/world_mislead_high_neg_scale,10,32B
experiments/20260524_rec_warn_noexp_novar/model_name_Qwen3-32B/world_mislead_high_scale,10,32B
